21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec
42.35,42.35,42.35,77.25,126.08,135.35,173.83,169.96,198.61,218.29,188.14,236.56
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,85.38,72.33,76.46,81.36,100.19,94.9,90.88
163.37,234.3,236.47,254.97,235.82,246.1,226.74,255.36,263.76,247.72,297.69,187.53
42.35,42.35,42.35,42.35,42.35,42.35,51.59,50.45,45.54,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
54.45,42.35,96.63,81.05,51.73,42.35,77.18,62.67,54.52,42.35,42.35,42.35
42.35,42.35,42.35,48.83,42.35,42.35,58.49,69.95,77.98,60.6,71.48,70.79
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,64.44,87.55,74.32,77.74,64.47,126.78,42.35
63.07,42.35,42.35,54.08,42.35,42.35,50.75,68.27,74.48,48.89,47.86,42.35
42.35,42.35,42.35,42.35,42.35,42.35,67.53,50.9,58.44,64.55,81.14,101.1
42.35,104.45,186.05,206.07,172.3,156.61,128,138.54,147.3,119.11,125.01,94.23
42.35,42.35,42.35,68.67,102.19,78.5,95.11,85.49,118.93,122.72,81.43,45.62
42.35,42.35,42.35,42.35,42.35,54.69,54.25,50.45,74.81,69.55,81.39,42.35
198.59,236.56,194.22,225.2,236.56,238.67,236.53,215.63,236.56,219.7,219.96,173.34
42.35,42.35,42.35,42.35,42.35,42.35,67.5,59.67,56.19,102.21,42.5,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,47.66,67.5,63.6,42.35,42.35,42.35,42.35
42.35,42.35,42.35,88.74,42.35,42.35,42.35,42.35,42.35,51.7,52.46,42.35
71.01,68.34,42.35,93.49,108.01,63.59,64.4,49.88,47.78,42.35,47.16,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,67.43,79.42,68.31,103.31,75.06,52.44
42.35,42.35,42.35,88.74,137.26,93.03,93.07,108.18,120.3,150.46,129.3,232.7
42.35,42.35,42.35,42.35,65.46,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,90,85.25,69.98,82.13,47.33,50.42,49.24,42.35
42.35,42.35,42.35,42.35,70.38,64.24,42.35,42.35,42.35,42.35,42.35,42.35
42.35,64.11,93.31,42.35,42.35,42.35,94.81,121.58,118.71,69.03,116.07,101.98
243.95,194.5,125.59,85.04,106.47,97.3,111.21,99.22,109.87,54.44,80.29,55.92
241.42,185.4,144.06,169.5,197.95,139.55,163.23,141.1,172.38,112.62,165.71,159.64
42.35,42.35,42.35,42.35,42.35,42.35,43.42,59.55,57.7,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,44.82,50.9,43.57,42.35,42.35,42.35
